label,q_file_success,qc_file_success,qubits,cx,h,s,sdg,cz,x,z,t,tdg,rx0.8,ccx,rz2,measure,clifford
measure_ghz-6,False,False,62,12200,100,0,0,0,0,0,0,0,0,0,0,100,12300
clifford__clifford-7,True,True,62,9267,7709,7393,765,660,11,9,0,0,0,0,0,0,25814
clifford_t__clifford-7,True,True,62,8379,6897,6622,737,593,9,7,2510,0,0,0,0,0,23244
clifford_t__cx_t-7,True,True,62,12195,2504,2679,577,0,0,315,8011,1140,0,0,0,0,18270
clifford_t__cx_t__twice-7,True,True,62,12224,2475,3372,80,0,0,149,9119,43,0,0,0,0,18300
clifford_t__h_cz_rx-7,True,True,62,7171,2623,2718,634,4981,0,325,2945,1154,5044,0,0,0,18452
clifford_t__h_cz_rx__twice-7,True,True,62,7223,2669,3424,78,5044,0,152,3991,48,4993,0,0,0,18590
ccx_h__clifford-7,True,True,62,9601,8718,3040,626,418,28,7,0,0,0,5043,0,0,22438
ccx_h__cx_t-7,True,True,62,9688,4993,237,555,0,0,308,5475,1151,0,5007,0,0,15781
ccx_h__cx_t__twice-7,True,True,62,9614,4995,947,81,0,0,144,6585,31,0,5005,0,0,15781
rz_h__cx-7,False,True,62,10502,4913,0,0,0,0,0,0,0,0,0,5087,0,15415
rz_h__cx__twice-7,False,True,62,10484,5030,0,0,0,0,0,0,0,0,0,4970,0,15514
measure_ghz-7,False,False,62,12200,100,0,0,0,0,0,0,0,0,0,0,100,12300
clifford__clifford-8,True,True,62,9329,7582,7472,712,671,12,12,0,0,0,0,0,0,25790
clifford_t__clifford-8,True,True,62,8685,6829,6580,737,634,13,9,2507,0,0,0,0,0,23487
clifford_t__cx_t-8,True,True,62,12102,2531,2731,555,0,0,280,7923,1197,0,0,0,0,18199
clifford_t__cx_t__twice-8,True,True,62,12169,2465,3353,65,0,0,178,9131,36,0,0,0,0,18230
clifford_t__h_cz_rx-8,True,True,62,7109,2637,2737,610,4932,0,326,2928,1156,5099,0,0,0,18351
clifford_t__h_cz_rx__twice-8,True,True,62,7186,2567,3357,81,5094,0,166,4102,29,4945,0,0,0,18451
ccx_h__clifford-8,True,True,62,9310,8962,3047,629,417,33,8,0,0,0,4909,0,0,22406
ccx_h__cx_t-8,True,True,62,9486,4979,237,625,0,0,327,5608,1120,0,5021,0,0,15654
ccx_h__cx_t__twice-8,True,True,62,9576,5006,878,84,0,0,186,6700,30,0,4994,0,0,15730
rz_h__cx-8,False,True,62,10502,4966,0,0,0,0,0,0,0,0,0,5034,0,15468
rz_h__cx__twice-8,False,True,62,10462,5017,0,0,0,0,0,0,0,0,0,4983,0,15479
measure_ghz-8,False,False,62,12200,100,0,0,0,0,0,0,0,0,0,0,100,12300
