,tool,label,precise_avg,error_summary,time_s_suc_min,time_s_suc_max,time_s_0,time_s_1,time_s_2,time_s_3,time_s_4,time_s_5,time_s_6,time_s_7,time_s_8,time_s_9,time_h_0,time_h_1,time_h_2,time_h_3,time_h_4,time_h_5,time_h_6,time_h_7,time_h_8,time_h_9,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,precise_0,precise_1,precise_2,precise_3,precise_4,precise_5,precise_6,precise_7,precise_8,precise_9,time_s_suc_0,time_s_suc_1,time_s_suc_2,time_s_suc_3,time_s_suc_4,time_s_suc_5,time_s_suc_6,time_s_suc_7,time_s_suc_8,time_s_suc_9
0,abstraqt,clifford__clifford,1.0,,24.35989499092102,33.05849623680115,24.35989499092102,28.05027675628662,29.054503917694092,28.05390167236328,28.048313856124878,28.05074429512024,33.05849623680115,29.055326223373413,30.05610466003418,31.983718633651733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,24.35989499092102,28.05027675628662,29.054503917694092,28.05390167236328,28.048313856124878,28.05074429512024,33.05849623680115,29.055326223373413,30.05610466003418,31.983718633651733
1,abstraqt,clifford_t__clifford,1.0,,32.42948126792908,47.0805926322937,32.42948126792908,38.06714653968811,40.07097005844116,38.06743264198303,46.08269691467285,47.0805926322937,44.07902765274048,42.075589656829834,40.06826996803284,43.07591104507446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,32.42948126792908,38.06714653968811,40.07097005844116,38.06743264198303,46.08269691467285,47.0805926322937,44.07902765274048,42.075589656829834,40.06826996803284,43.07591104507446
2,abstraqt,clifford_t__cx_t,1.0,,45.85227179527283,63.09556746482849,45.85227179527283,51.076255559921265,57.09349536895752,55.085604667663574,63.09556746482849,54.09323573112488,56.090588092803955,61.1039354801178,58.09124708175659,61.10231351852417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,45.85227179527283,51.076255559921265,57.09349536895752,55.085604667663574,63.09556746482849,54.09323573112488,56.090588092803955,61.1039354801178,58.09124708175659,61.10231351852417
3,abstraqt,clifford_t__cx_t__twice,1.0,,46.57356929779053,64.58206343650818,46.57356929779053,50.89470815658569,58.090707778930664,53.08769249916077,52.09209394454956,60.09716010093689,56.096585512161255,64.44748044013977,60.09915637969971,64.58206343650818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,46.57356929779053,50.89470815658569,58.090707778930664,53.08769249916077,52.09209394454956,60.09716010093689,56.096585512161255,64.44748044013977,60.09915637969971,64.58206343650818
4,abstraqt,clifford_t__h_cz_rx,1.0,,58.45084047317505,68.5315089225769,58.79811453819275,58.65948486328125,58.74321222305298,58.45084047317505,59.53410840034485,61.01704216003418,61.84735035896301,66.867990732193,67.33216786384583,68.5315089225769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,58.79811453819275,58.65948486328125,58.74321222305298,58.45084047317505,59.53410840034485,61.01704216003418,61.84735035896301,66.867990732193,67.33216786384583,68.5315089225769
5,abstraqt,clifford_t__h_cz_rx__twice,1.0,,52.014591693878174,71.11624598503113,52.014591693878174,55.28445839881897,71.11624598503113,56.092954874038696,57.388845920562744,64.42402219772339,58.101500034332275,63.097607374191284,60.10095453262329,71.11557865142822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,52.014591693878174,55.28445839881897,71.11624598503113,56.092954874038696,57.388845920562744,64.42402219772339,58.101500034332275,63.097607374191284,60.10095453262329,71.11557865142822
6,abstraqt,ccx_h__clifford,1.0,,142.6306848526001,155.23926758766174,142.6306848526001,146.21450209617615,155.23926758766174,146.20405912399292,143.43736124038696,153.22667598724365,145.22865629196167,151.22719717025757,148.21738982200623,146.8204529285431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,142.6306848526001,146.21450209617615,155.23926758766174,146.20405912399292,143.43736124038696,153.22667598724365,145.22865629196167,151.22719717025757,148.21738982200623,146.8204529285431
7,abstraqt,ccx_h__cx_t,1.0,,155.2239055633545,173.26254177093506,159.2275242805481,155.2239055633545,165.23304772377014,162.24070572853088,161.2450132369995,173.26254177093506,172.25418424606323,161.25229048728943,158.5718948841095,156.22749590873718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,159.2275242805481,155.2239055633545,165.23304772377014,162.24070572853088,161.2450132369995,173.26254177093506,172.25418424606323,161.25229048728943,158.5718948841095,156.22749590873718
8,abstraqt,ccx_h__cx_t__twice,1.0,,155.22335410118103,173.26432347297668,162.23351335525513,156.22750067710876,162.2323877811432,155.22335410118103,159.2461907863617,168.2445888519287,158.23451924324036,171.26134538650513,167.2489402294159,173.26432347297668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,162.23351335525513,156.22750067710876,162.2323877811432,155.22335410118103,159.2461907863617,168.2445888519287,158.23451924324036,171.26134538650513,167.2489402294159,173.26432347297668
9,abstraqt,rz_h__cx,1.0,,37.060935735702515,47.08262586593628,37.060935735702515,37.06454300880432,38.06882119178772,38.06248354911804,37.06295680999756,43.075727701187134,38.0664165019989,39.07062125205994,41.073689699172974,47.08262586593628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,37.060935735702515,37.06454300880432,38.06882119178772,38.06248354911804,37.06295680999756,43.075727701187134,38.0664165019989,39.07062125205994,41.073689699172974,47.08262586593628
